N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,0.00011,0.0005,0.35000000000000003,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029143635703015856
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,0.00011,0.0005,0.25000000000000006,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027588002746077845
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,0.000121,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0031738149207313575
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,9.900000000000001e-05,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002913589310894563
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,8.910000000000001e-05,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002820882552233491
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,8.019e-05,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0025129734882990864
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028799902439987472
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.00055,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027784782506801034
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.00045,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026331010010409803
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,7.2171e-05,0.000405,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029358035614453137
